Timestamp,% Baseline,City,County,State
"Feb 8, 2014 3pm",0.0942,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 4pm",0.0288,Hanover,Plymouth,Massachusetts
"Feb 8, 2014 5pm",0.0011,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 7am",0.0014,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 8am",0.0142,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 9am",0.0244,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 10am",0.0328,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 11am",0.1029,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 12pm",0.1038,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 1pm",0.062,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 2pm",0.0586,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 3pm",0.08,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 4pm",0.0244,Hanover,Plymouth,Massachusetts
"Feb 9, 2014 5pm",0.0007,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 7am",0.0029,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 8am",0.0165,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 9am",0.0516,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 10am",0.1697,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 11am",0.5685,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 12pm",0.7375,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 1pm",0.5521,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 2pm",0.3948,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 3pm",0.0976,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 4pm",0.0279,Hanover,Plymouth,Massachusetts
"Feb 10, 2014 5pm",0.0034,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 6am",0.0016,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 7am",0.0359,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 8am",0.1162,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 9am",0.3138,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 10am",0.5343,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 11am",0.7731,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 12pm",0.763,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 1pm",0.6499,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 2pm",0.4137,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 3pm",0.0871,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 4pm",0.0193,Hanover,Plymouth,Massachusetts
"Feb 11, 2014 5pm",0.002,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 6am",0.002,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 7am",0.0373,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 8am",0.116,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 9am",0.3311,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 10am",0.5594,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 11am",0.7852,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 12pm",0.7682,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 1pm",0.4991,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 2pm",0.3344,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 3pm",0.1408,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 4pm",0.0427,Hanover,Plymouth,Massachusetts
"Feb 12, 2014 5pm",0.0028,Hanover,Plymouth,Massachusetts
"Feb 13, 2014 6am",0.0002,Hanover,Plymouth,Massachusetts
"Feb 13, 2014 7am",0.0066,Hanover,Plymouth,Massachusetts
"Feb 13, 2014 8am",0.0122,Hanover,Plymouth,Massachusetts
"Feb 13, 2014 9am",0.0127,Hanover,Plymouth,Massachusetts
