objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
mape,450,1350,10,0.028,0.3,0.8922512098536881,0.004587087021473382
rmse,100,300,9,0.034,0.8,0.9046847192672921,0.004710483657575822
rmse,500,200,9,0.01,0.2,0.8099285638743707,0.003172785504079598
rmse,1250,200,9,0.01,0.5,0.8572838044183041,0.003733871910575217
mae,1400,850,7,0.016,0.6,0.880976272160019,0.006133801413511202
mae,550,200,9,0.012,0.1,0.7236901290454707,0.0037667287034532262
rmse,1200,1000,-1,0.006,0.3,0.903721856305655,0.004046448497168924
mae,450,500,7,0.036,0.9,0.8804137785932691,0.005443499292922321
mae,350,400,4,0.014,0.9,0.8408411204297723,0.005817606950296569
mape,1100,150,4,0.014,0.9,0.7856884866956821,0.00475647452867691
mae,1200,650,3,0.046,0.7,0.8469438341802737,0.007840251403408705
mae,850,1350,12,0.026,0.5,0.9016719718523301,0.0040568225089439545
mae,400,500,3,0.012,0.7,0.8211150488023364,0.005929470444302953
mae,800,650,3,0.034,0.3,0.8357608967733368,0.007329463397988761
rmse,650,1150,3,0.028,0.2,0.8642461456479198,0.004813561138389514
mape,1050,1050,3,0.012,0.5,0.8336121080647149,0.006704836220652681
mape,1200,1250,8,0.03,0.8,0.8868091657474224,0.005236773877086274
mape,300,250,12,0.008,0.2,0.7780269777690991,0.0016859560738544908
rmse,1100,1350,9,0.032,0.1,0.8919817668622572,0.0036225619716711995
mae,400,1100,9,0.018,0.2,0.8804971230914653,0.004986396780469107
mae,300,200,7,0.042,0.1,0.8293463306652817,0.004202305741215023
mape,1050,1050,5,0.02,0.8,0.8674059807322372,0.007263718693634547
rmse,350,950,7,0.046,0.7,0.908675365322751,0.003946090012114733
rmse,250,350,3,0.022,0.5,0.8462171679818702,0.006122711029094261
mae,400,450,7,0.03,0.9,0.8792430855900955,0.006165396722361357
mae,150,550,-1,0.044,0.5,0.8993665243525031,0.004380025212441218
mae,1150,1400,5,0.016,0.8,0.8696902569189584,0.007866621173592016
mape,200,1150,11,0.018,0.9,0.8931459650905613,0.004403593290332219
mape,350,1300,4,0.012,0.6,0.8567972079897079,0.008114431359098088
mae,400,450,5,0.036,0.5,0.8683686543115257,0.007051324189262901
mape,950,200,6,0.044,0.5,0.8698465033256071,0.006907714077543753
